,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,Yrs_Starter,wAV,G,Cmp,Att,Yds,TD,Int,Rushing_Att,Rushing_Yds,Rushing_TD,Uni,draft_year,mAV
0,1,1,IND,Jeff George,QB,22,2001,0,0,9,66,131,2298,3967,27602,154,113,168,307,2,Illinois,1990,1.1470994768133977
6,1,7,DET,Andre Ware,QB,22,1993,0,0,0,5,14,83,161,1112,5,8,38,217,0,Houston,1990,0.4311655192066296
58,3,59,NWE,Tom Hodson,QB,23,1995,0,0,0,4,36,174,320,1823,7,11,21,90,0,LSU,1990,0.13889556955504148
62,3,63,CHI,Peter Tom Willis,QB,23,1993,0,0,0,4,21,104,183,1261,6,15,5,14,0,Florida St.,1990,0.2294796366561555
69,3,70,PIT,Neil O'Donnell,QB,24,2003,0,1,7,60,125,1865,3229,21690,120,68,215,446,4,Maryland,1990,1.07146448280286
83,4,84,NYJ,Troy Taylor,QB,22,1991,0,0,0,0,7,12,20,125,2,1,9,43,1,California,1990,0.0
85,4,86,WAS,Cary Conklin,QB,22,1995,0,0,0,1,7,52,101,560,5,3,5,-6,0,Washington,1990,0.1111111111111111
92,4,93,MIA,Scott Mitchell,QB,22,2001,0,0,5,49,99,1301,2346,15692,95,81,172,485,11,Utah,1990,1.0566080673233287
134,5,135,NYG,Craig Kupp,QB,23,1991,0,0,0,0,1,3,7,23,0,0,1,5,0,Pacific Lutheran,1990,0.0
137,6,138,SDG,John Friesz,QB,23,2000,0,0,1,26,69,745,1364,8699,45,42,53,29,0,Idaho,1990,0.7026024645388445
155,6,156,NOR,Mike Buck,QB,23,1995,0,0,0,2,12,55,92,790,5,4,5,-4,0,Maine,1990,0.1640997649995764
206,8,207,NOR,Gerry Gdowski,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nebraska,1990,0.0
241,9,242,GNB,Kirk Baumgartner,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wisconsin–Stevens Point,1990,0.0
246,9,247,DEN,Todd Ellis,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,South Carolina,1990,0.0
295,11,296,CLE,Clemente Gordon,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grambling St.,1990,0.0
306,12,307,TAM,Todd Hammel,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S.F. Austin,1990,0.0
310,12,311,IND,Gene Benhart,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Western Illinois,1990,0.0
311,12,312,SEA,John Gromos,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vanderbilt,1990,0.0
316,12,317,RAI,Major Harris,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,West Virginia,1990,0.0
320,12,321,HOU,Reggie Slack,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Auburn,1990,0.0
346,1,16,SEA,Dan McGwire,QB,23,1995,0,0,0,2,13,74,148,745,2,6,14,6,0,San Diego St.,1991,0.1531597806662713
354,1,24,RAI,Todd Marinovich,QB,22,1992,0,0,0,3,8,104,205,1345,8,9,12,44,0,USC,1991,0.3737192818846552
363,2,33,ATL,Brett Favre HOF,QB,21,2010,3,11,19,158,302,6300,10169,71838,508,336,602,1844,14,Southern Miss,1991,1.4305891296758275
364,2,34,NYJ,Browning Nagle,QB,23,1996,0,0,1,5,24,213,437,2489,8,20,26,68,0,Louisville,1991,0.26533262720407974
414,4,84,NWE,Scott Zolak,QB,23,1999,0,0,0,4,55,124,248,1314,8,7,38,81,0,Maryland,1991,0.09259704637002766
429,4,99,CIN,Donald Hollas,QB,23,1998,0,0,0,5,32,202,375,2399,13,21,61,295,1,Rice,1991,0.20290142080311982
