Month,Sales
1949-01-01,1000112
1949-02-01,1000118
1949-03-01,1000132
1949-04-01,1000129
1949-05-01,1000121
1949-06-01,1000135
1949-07-01,1000148
1949-08-01,1000148
1949-09-01,1000136
1949-10-01,1000119
1949-11-01,1000104
1949-12-01,1000118
1950-01-01,1000115
1950-02-01,1000126
1950-03-01,1000141
1950-04-01,1000135
1950-05-01,1000125
1950-06-01,1000149
1950-07-01,1000170
1950-08-01,1000170
1950-09-01,1000158
1950-10-01,1000133
1950-11-01,1000114
1950-12-01,1000140
1951-01-01,1000145
1951-02-01,1000150
1951-03-01,1000178
1951-04-01,1000163
1951-05-01,1000172
1951-06-01,1000178
1951-07-01,1000199
1951-08-01,1000199
1951-09-01,1000184
1951-10-01,1000162
1951-11-01,1000146
1951-12-01,1000166
1952-01-01,1000171
1952-02-01,1000180
1952-03-01,1000193
1952-04-01,1000181
1952-05-01,1000183
1952-06-01,1000218
1952-07-01,1000230
1952-08-01,1000242
1952-09-01,1000209
1952-10-01,1000191
1952-11-01,1000172
1952-12-01,1000194
1953-01-01,1000196
1953-02-01,1000196
1953-03-01,1000236
1953-04-01,1000235
1953-05-01,1000229
1953-06-01,1000243
1953-07-01,1000264
1953-08-01,1000272
1953-09-01,1000237
1953-10-01,1000211
1953-11-01,1000180
1953-12-01,1000201
1954-01-01,1000204
1954-02-01,1000188
1954-03-01,1000235
1954-04-01,1000227
1954-05-01,1000234
1954-06-01,1000264
1954-07-01,1000302
1954-08-01,1000293
1954-09-01,1000259
1954-10-01,1000229
1954-11-01,1000203
1954-12-01,1000229
1955-01-01,1000242
1955-02-01,1000233
1955-03-01,1000267
1955-04-01,1000269
1955-05-01,1000270
1955-06-01,1000315
1955-07-01,1000364
1955-08-01,1000347
1955-09-01,1000312
1955-10-01,1000274
1955-11-01,1000237
1955-12-01,1000278
1956-01-01,1000284
1956-02-01,1000277
1956-03-01,1000317
1956-04-01,1000313
1956-05-01,1000318
1956-06-01,1000374
1956-07-01,1000413
1956-08-01,1000405
1956-09-01,1000355
1956-10-01,1000306
1956-11-01,1000271
1956-12-01,1000306
1957-01-01,1000315
1957-02-01,1000301
1957-03-01,1000356
1957-04-01,1000348
1957-05-01,1000355
1957-06-01,1000422
1957-07-01,1000465
1957-08-01,1000467
1957-09-01,1000404
1957-10-01,1000347
1957-11-01,1000305
1957-12-01,1000336
1958-01-01,1000340
1958-02-01,1000318
1958-03-01,1000362
1958-04-01,1000348
1958-05-01,1000363
1958-06-01,1000435
1958-07-01,1000491
1958-08-01,1000505
1958-09-01,1000404
1958-10-01,1000359
1958-11-01,1000310
1958-12-01,1000337
1959-01-01,1000360
1959-02-01,1000342
1959-03-01,1000406
1959-04-01,1000396
1959-05-01,1000420
1959-06-01,1000472
1959-07-01,1000548
1959-08-01,1000559
1959-09-01,1000463
1959-10-01,1000407
1959-11-01,1000362
1959-12-01,1000405
1960-01-01,1000417
1960-02-01,1000391
1960-03-01,1000419
1960-04-01,1000461
1960-05-01,1000472
1960-06-01,1000535
1960-07-01,1000622
1960-08-01,1000606
1960-09-01,1000508
1960-10-01,1000461
1960-11-01,1000390
1960-12-01,1000432
